machine,person,rating
Bell of Fortune,1,52
Bell of Fortune,2,51.8
Bell of Fortune,2,52.8
Bell of Fortune,3,60
Bell of Fortune,4,51.1
Bell of Fortune,4,52.3
Bell of Fortune,5,50.9
Bell of Fortune,5,51.8
Bell of Fortune,5,51.4
Bell of Fortune,6,46.4
Bell of Fortune,6,44.8
Bell of Fortune,6,49.2
Diamond  Blitz,1,64
Diamond  Blitz,2,59.7
Diamond  Blitz,2,60
Diamond  Blitz,2,59
Diamond  Blitz,3,68.6
Diamond  Blitz,3,65.8
Diamond  Blitz,4,63.2
Diamond  Blitz,4,62.8
Diamond  Blitz,4,62.2
Diamond  Blitz,5,64.8
Diamond  Blitz,5,65
Diamond  Blitz,6,43.7
Diamond  Blitz,6,44.2
Diamond  Blitz,6,43
Fruit Bonanza,1,67.5
Fruit Bonanza,1,67.2
Fruit Bonanza,1,66.9
Fruit Bonanza,2,61.5
Fruit Bonanza,2,61.7
Fruit Bonanza,2,62.3
Fruit Bonanza,3,70.8
Fruit Bonanza,3,70.6
Fruit Bonanza,3,71
Fruit Bonanza,4,64.1
Fruit Bonanza,4,66.2
Fruit Bonanza,4,64
Fruit Bonanza,5,72.1
Fruit Bonanza,5,72
Fruit Bonanza,5,71.1
Fruit Bonanza,6,62
Fruit Bonanza,6,61.4
Fruit Bonanza,6,60.5
